Key,Translation
Prefix.Hasty,Hasty
Prefix.Hasty2,Hasty
Prefix.Heavy,Heavy
Prefix.Hurtful,Hurtful
Prefix.Ignorant,Ignorant
Prefix.Inept,Inept
Prefix.Intense,Intense
Prefix.Intimidating,Intimidating
Prefix.Intrepid,Intrepid
Prefix.Jagged,Jagged
Prefix.Keen,Keen
Prefix.Large,Large
Prefix.Lazy,Lazy
Prefix.Legendary,Legendary
Prefix.Legendary2,Legendary
Prefix.Lethargic,Lethargic
Prefix.Light,Light
Prefix.Lucky,Lucky
Prefix.Manic,Manic
Prefix.Massive,Massive
Prefix.Masterful,Masterful
Prefix.Menacing,Menacing
Prefix.Murderous,Murderous
Prefix.Mystic,Mystic
Prefix.Mythical,Mythical
Prefix.Nasty,Nasty
Prefix.Nimble,Nimble
Prefix.Pointy,Pointy
Prefix.Powerful,Powerful
Prefix.Precise,Precise
Prefix.Quick,Quick
Prefix.Quick2,Quick
Prefix.Rapid,Rapid
Prefix.Rash,Rash
Prefix.Ruthless,Ruthless
Prefix.Savage,Savage
Prefix.Shameful,Shameful
Prefix.Sharp,Sharp
Prefix.Shoddy,Shoddy
Prefix.Sighted,Sighted
Prefix.Slow,Slow
Prefix.Sluggish,Sluggish
Prefix.Small,Small
Prefix.Spiked,Spiked
Prefix.Staunch,Staunch
Prefix.Strong,Strong
Prefix.Superior,Superior
Prefix.Taboo,Taboo
Prefix.Terrible,Terrible
Prefix.Tiny,Tiny
Prefix.Unhappy,Unhappy
Prefix.Unpleasant,Unpleasant
Prefix.Unreal,Unreal
Prefix.Violent,Violent
Prefix.Warding,Warding
Prefix.Weak,Weak
Prefix.Wild,Wild
Prefix.Zealous,Zealous
PrincessChatter.Chatter_1,ฉันซาบซึ้งมากกับความดีทั้งหมดที่คุณได้ทําเพื่อดินแดนนี้! ขอบคุณ!
PrincessChatter.Chatter_10,"{?PumpkingDefeated}ฟักทองสองหน้า ฉันจะไม่ยอมแพ้ และปล่อยให้ความสงบสุขหมดไป กับผู้คนที่น่ากลัวของเขา!"
PrincessChatter.Chatter_11,สีชมพูเป็นสีที่ดีที่สุดที่ใคร ๆ ก็ถามหา!
PrincessChatter.Chatter_12,"{?DukeFishronDefeated}ฉันเคยพบกับ Duke ที่ชายหาด เขาน่าแปลกและไม่มีมารยาทที่ดีเลย!"
PrincessChatter.Chatter_13,"อืม ... การเป็นเจ้าหญิงบางครั้ง มันก็ไม่ได้มีอะไรมากมาย ดังนั้นฉันจึงต้องหางานอดิเรกหลายอย่าง!"
PrincessChatter.Chatter_14,"ในที่สุดฉันก็มีความสุขมากที่ได้เดินทางไปทั่วโลกและพบกับผู้คนใหม่ๆ!"
PrincessChatter.Chatter_15,"ถึงแม้ว่าฉันจะเป็นคนรักของทุกคน แต่ฉันก็ยังขี้อาย ฉันยังคงต้องฝึกปรับตัวเข้า กับผู้คนให้มากขึ้น"
PrincessChatter.Chatter_16,"{?BloodMoon}แม่น้ำไหลเป็นสีแดง ทุกคนดูเหมือนจะทำตัวน่ากลัว..ฉัน.. ฉันรู้สึกว่าคืนนี้ฉันต้อง อยู่ห่างๆคนอื่นซักพัก!"
PrincessChatter.Chatter_17,"{?!Day}ดวงดาวยามค่ำคืน ทำให้ฉันนึกถึงแสงระยิบระยับ บนชุดเดรสสีดำที่สวยงาม ฉันอยากทำชุดนั้นขึ้นมาจริงๆ!"
PrincessChatter.Chatter_2,"ก็อบลินน่ารักมาก! พวกเขาเตี้ยและมีหูที่แหลมเล็กและมีหลายสี ด้วย!"
PrincessChatter.Chatter_3,{?GolemDefeated}ฉันพยายามที่จะเลี้ยง Lihzahrd ครั้งนึง อืม... พวกเขาไม่รังเกียจเลย!
PrincessChatter.Chatter_4,{?MartiansDefeated}ฉันหวังว่าชาวอังคาร จะทำตัวดีกว่านี้อีกนิด ปกติโลกของเราไม่ได้ มีผู้มาเยือนแบบนี้
PrincessChatter.Chatter_5,"ชอบชุดของฉันไหม? ขอบคุณมาก! ฉันเพิ่งเย็บมันเสร็จ"
PrincessChatter.Chatter_6,ฉันรู้สึกขอบคุณมาก สำหรับผู้คนของฉัน!
PrincessChatter.Chatter_7,"{?FrostLegionDefeated}ไม่ต้องกังวลพลเมืองที่นี้! ฉันตระหนักดีถึงปัญหาอาชญากรรมที่เกิดขึ้นท่ามกลางฝูงชนชาวหิมะ"
PrincessChatter.Chatter_8,"อืม... คุณคิดว่า {Pirate} จะสามารถพาเพื่อนเก่าแก่ของเขากลับมาได้หรือไม่?"
PrincessChatter.Chatter_9,"{?IceQueenDefeated}การทูตทำงานได้ไม่ดีกับราชินีน้ำแข็ง ฉันกลัวว่าเธอค่อนข้างเย็นชาเกินไป! ฮิฮิ!"
PrincessNames.Ai,Ai
PrincessNames.Alice,Alice
PrincessNames.Aria,Aria
PrincessNames.Ariel,Ariel
PrincessNames.Belle,Belle
PrincessNames.Charlotte,Charlotte
PrincessNames.Christina,Christina
PrincessNames.Elitia,Elitia
PrincessNames.Emilia,Emilia
PrincessNames.Faye,Faye
PrincessNames.Flora,Flora
PrincessNames.Hikari,Hikari
PrincessNames.Hime,Hime
PrincessNames.Liselotte,Liselotte
PrincessNames.Lucia,Lucia
PrincessNames.Momo,Momo
PrincessNames.Rosetta,Rosetta
PrincessNames.Sophia,Sophia
PrincessNames.Theresa,Theresa
PrincessNames.Tiara,Tiara
PrincessNames.Yuuki,Yuuki
PrincessSpecialText.Graveyard1,อืม...ข้างนอกมันน่ากลัวนิดหน่อย ฉันว่าฉันควรไปดื่มชาดีกว่า
PrincessSpecialText.Graveyard2,"นั้นเสียงอะไร? บางทีฉันไม่ควรกังวลนั้น!"
PrincessSpecialText.Party,ปาร์ตี้เหรอ? เหมือนกับ..เทศกาลใช้มั้ย!? ฉันชอบเทศกาล! ที่มีสีชมพู! มันร่าเริงมาก!!
PrincessSpecialText.Rain1,มีบางอย่างเกี่ยวกับฝนที่ทำให้ฉันรู้สึกสงบ
PrincessSpecialText.Rain2,ฉันชอบเวลาที่ฝนตก มันผ่อนคลายมาก
PrincessSpecialText.Storm1,อืม.. พายุข้างนอกฟังดูรุนแรง และฉันชอบความสับสนวุ่นวายนี้ภายในนี้ด้วย
PrincessSpecialText.Storm2,"ระวังถ้าต้องออกไปข้างนอก มันมีพายุค่อนข้างหนักมาก"
PrincessSpecialText.Windy1,"อุ๊บส์! ฉันควรจะจับเครื่องประดับบนหัวฉัน ลมแรงมากเลยวันนี้"
PrincessSpecialText.Windy2,"มันเป็นวันที่เหมาะสมกับการร่อนว่าว คุณไม่เห็นด้วยเหรอ?"
ProjectileName.AdamantiteChainsaw,Adamantite Chainsaw
ProjectileName.AdamantiteDrill,Adamantite Drill
ProjectileName.AdamantiteGlaive,Adamantite Glaive
ProjectileName.Ale,Ale
ProjectileName.Amarok,Yoyo
ProjectileName.AmberBolt,Amber Bolt
ProjectileName.AmethystBolt,Amethyst Bolt
ProjectileName.Anchor,Anchor
ProjectileName.AncientDoomProjectile,Prophecy's End
ProjectileName.AntiGravityHook,Anti-Gravity Hook
ProjectileName.ApprenticeStaffT3Shot,Betsy's Wrath
ProjectileName.Arkhalis,Arkhalis
ProjectileName.AshBallFalling,Ash Ball
ProjectileName.BabyBird,Finch
ProjectileName.BabyDino,Baby Dino
ProjectileName.BabyEater,Baby Eater
ProjectileName.BabyFaceMonster,Baby Face Monster
ProjectileName.BabyGrinch,Baby Grinch
ProjectileName.BabyHornet,Baby Hornet
ProjectileName.BabySkeletronHead,Baby Skeletron Head
ProjectileName.BabySlime,Baby Slime
ProjectileName.BabySnowman,Baby Snowman
ProjectileName.BabySpider,Baby Spider
ProjectileName.BabyWerewolf,Baby Werewolf
ProjectileName.BallofFire,Ball of Fire
ProjectileName.BallofFrost,Ball of Frost
ProjectileName.BallOHurt,Ball 'O Hurt
ProjectileName.Bananarang,Bananarang
ProjectileName.Bat,Bat
ProjectileName.BatHook,Bat Hook
ProjectileName.BatOfLight,Sanguine Bat
ProjectileName.BeachBall,Beach Ball
ProjectileName.Bee,Bee
ProjectileName.BeeArrow,Bee Arrow
ProjectileName.BeeCloakStar,Bee Cloak
ProjectileName.BeeHive,Bee Hive
ProjectileName.Beenade,Beenade
ProjectileName.BlackBolt,Onyx Blaster
ProjectileName.BlackCat,Black Cat
ProjectileName.BlackCounterweight,Counterweight
ProjectileName.BlandWhip,Leather Whip
ProjectileName.Blizzard,Blizzard
ProjectileName.BloodArrow,Blood Rain
ProjectileName.BloodCloudMoving,Blood Cloud
ProjectileName.BloodCloudRaining,Blood Cloud
ProjectileName.BloodNautilusShot,Blood Shot
ProjectileName.BloodNautilusTears,Blood Tears
ProjectileName.BloodRain,Blood Rain
ProjectileName.BloodShot,Blood Shot
ProjectileName.BloodWater,Blood Water
ProjectileName.BloodyMachete,Bloody Machete
ProjectileName.BlowupSmoke,Blowup Smoke
ProjectileName.BlowupSmokeMoonlord,Blowup Smoke
ProjectileName.BlueCounterweight,Counterweight
ProjectileName.BlueDungeonDebris,Debris
ProjectileName.BlueFairy,Blue Fairy
ProjectileName.BlueFlare,Blue Flare
ProjectileName.BlueMoon,Blue Moon
ProjectileName.BobberFiberglass,Bobber
ProjectileName.BobberFisherOfSouls,Bobber
ProjectileName.BobberFleshcatcher,Bobber
ProjectileName.BobberGolden,Bobber
ProjectileName.BobberHotline,Bobber
ProjectileName.BobberMechanics,Bobber
ProjectileName.BobberReinforced,Bobber
ProjectileName.BobbersittingDuck,Bobber
ProjectileName.BobberWooden,Bobber
ProjectileName.Bomb,Bomb
ProjectileName.BombFish,Bomb Fish
ProjectileName.BombSkeletronPrime,Bomb
ProjectileName.Bone,Bone
ProjectileName.BoneArrow,Bone Arrow
ProjectileName.BoneArrowFromMerchant,Bone Arrow
ProjectileName.BoneDagger,Bone Dagger
ProjectileName.BoneGloveProj,XBone
ProjectileName.BoneJavelin,Bone Javelin
ProjectileName.BoneWhip,Spinal Tap
ProjectileName.BookOfSkullsSkull,Skull
ProjectileName.BookStaffShot,Tome of Infinite Wisdom
ProjectileName.Boulder,Boulder
ProjectileName.BoulderStaffOfEarth,Boulder
ProjectileName.BouncingShield,Sergeant United Shield
ProjectileName.BouncyBomb,Bouncy Bomb
ProjectileName.BouncyDynamite,Bouncy Dynamite
ProjectileName.BouncyGlowstick,Bouncy Glowstick
ProjectileName.BouncyGrenade,Bouncy Grenade
ProjectileName.BoxingGlove,Boxing Glove
ProjectileName.BrainOfConfusion,Brain of Confusion
ProjectileName.BrainScramblerBolt,Brain Scrambling Bolt
ProjectileName.Bubble,Bubble
ProjectileName.Bullet,Bullet
ProjectileName.BulletDeadeye,Bullet
ProjectileName.BulletHighVelocity,Bullet
ProjectileName.BulletSnowman,Bullet
ProjectileName.Bunny,Bunny
ProjectileName.ButchersChainsaw,Butcher's Chainsaw
ProjectileName.CandyCaneHook,Candy Cane Hook
ProjectileName.CandyCorn,Candy Corn
ProjectileName.CannonballFriendly,Cannonball
ProjectileName.CannonballHostile,Cannonball
ProjectileName.Cascade,Yoyo
ProjectileName.Celeb2Rocket,{$ProjectileName.Celeb2Weapon}
ProjectileName.Celeb2RocketExplosive,{$ProjectileName.Celeb2Weapon}
ProjectileName.Celeb2RocketLarge,{$ProjectileName.Celeb2Weapon}
ProjectileName.Celeb2RocketLargeExplosive,{$ProjectileName.Celeb2Weapon}
ProjectileName.Celeb2Weapon,Celebration Mk2
ProjectileName.ChainGuillotine,Chain Guillotine
ProjectileName.ChainKnife,Chain Knife
ProjectileName.ChargedBlasterCannon,Charged Blaster Cannon
ProjectileName.ChargedBlasterLaser,Charged Blaster Laser
ProjectileName.ChargedBlasterOrb,Charged Blaster Orb
ProjectileName.Chik,Yoyo
ProjectileName.ChlorophyteArrow,Chlorophyte Arrow
ProjectileName.ChlorophyteBullet,Bullet
ProjectileName.ChlorophyteChainsaw,Chlorophyte Chainsaw
ProjectileName.ChlorophyteDrill,Chlorophyte Drill
ProjectileName.ChlorophyteJackhammer,Chlorophyte Jackhammer
ProjectileName.ChlorophyteOrb,Chlorophyte Orb
ProjectileName.ChlorophytePartisan,Chlorophyte Partisan
ProjectileName.ChristmasHook,Christmas Hook
ProjectileName.ClingerStaff,Cursed Flames
ProjectileName.ClothiersCurse,Skull
ProjectileName.ClusterFragmentsI,Cluster Fragment
ProjectileName.ClusterFragmentsII,Cluster Fragment
ProjectileName.ClusterGrenadeI,Grenade
ProjectileName.ClusterGrenadeII,Grenade
ProjectileName.ClusterMineI,Proximity Mine
ProjectileName.ClusterMineII,Proximity Mine
ProjectileName.ClusterRocketI,Rocket
ProjectileName.ClusterRocketII,Rocket
ProjectileName.ClusterSnowmanFragmentsI,Cluster Fragment
ProjectileName.ClusterSnowmanFragmentsII,Cluster Fragment
ProjectileName.ClusterSnowmanRocketI,Rocket
ProjectileName.ClusterSnowmanRocketII,Rocket
ProjectileName.CobaltChainsaw,Cobalt Chainsaw
ProjectileName.CobaltDrill,Cobalt Drill
ProjectileName.CobaltNaginata,Cobalt Naginata
ProjectileName.Code1,Yoyo
ProjectileName.Code2,Yoyo
ProjectileName.CoinPortal,Coin Portal
ProjectileName.CombatWrench,Combat Wrench
ProjectileName.CompanionCube,Companion Cube
ProjectileName.ConfettiGun,Confetti
ProjectileName.ConfettiMelee,Confetti
ProjectileName.CoolWhip,Cool Whip
ProjectileName.CoolWhipProj,Cool Flake
ProjectileName.CopperCoin,Copper Coin
ProjectileName.CopperCoinsFalling,Copper Coins
ProjectileName.CopperShortswordStab,Copper Shortsword
ProjectileName.CorruptSpray,Corrupt Spray
ProjectileName.CorruptYoyo,Yoyo
ProjectileName.CrimsandBallFalling,Crimsand Ball
ProjectileName.CrimsandBallGun,Crimsand Ball
ProjectileName.CrimsonHeart,Crimson Heart
ProjectileName.CrimsonSpray,Crimson Spray
ProjectileName.CrimsonYoyo,Yoyo
ProjectileName.CrossGraveMarker,Tombstone
ProjectileName.CrystalBullet,Crystal Bullet
ProjectileName.CrystalDart,Crystal Dart
ProjectileName.CrystalLeaf,Crystal Leaf
ProjectileName.CrystalLeafShot,Crystal Leaf
ProjectileName.CrystalPulse,Crystal Charge
ProjectileName.CrystalPulse2,Crystal Charge
ProjectileName.CrystalShard,Crystal Shard
ProjectileName.CrystalStorm,Crystal Storm
ProjectileName.CrystalVileShardHead,Crystal Vile Shard
ProjectileName.CrystalVileShardShaft,Crystal Vile Shard
ProjectileName.Cthulunado,Cthulunado
ProjectileName.CultistBossFireBall,Fireball
ProjectileName.CultistBossFireBallClone,Shadow Fireball
ProjectileName.CultistBossIceMist,Ice Mist
ProjectileName.CultistBossLightningOrb,Lightning Orb
ProjectileName.CultistBossLightningOrbArc,Lightning Orb Arc
ProjectileName.CultistBossParticle,Energy
ProjectileName.CultistRitual,Lightning Ritual
ProjectileName.CursedArrow,Cursed Arrow
ProjectileName.CursedBullet,Cursed Bullet
ProjectileName.CursedDart,Cursed Dart
ProjectileName.CursedDartFlame,Cursed Flame
ProjectileName.CursedFlameFriendly,Cursed Flame
ProjectileName.CursedFlameHostile,Cursed Flame
ProjectileName.CursedSapling,Cursed Sapling
ProjectileName.DandelionSeed,Dandelion Seed
ProjectileName.DangerousSpider,Dangerous Spider
ProjectileName.DarkLance,Dark Lance
ProjectileName.Daybreak,Daybreak
ProjectileName.DaybreakExplosion,Solar Explosion
ProjectileName.DD2ApprenticeStorm,Whirlwind of Infinite Wisdom
ProjectileName.DD2BallistraProj,Ballista
ProjectileName.DD2BallistraTowerT1,Ballista
ProjectileName.DD2BallistraTowerT2,Ballista
ProjectileName.DD2BallistraTowerT3,Ballista
ProjectileName.DD2BetsyArrow,Aerial Bane
ProjectileName.DD2BetsyFireball,Betsy's Fireball
ProjectileName.DD2BetsyFlameBreath,Betsy's Breath
ProjectileName.DD2DarkMageBolt,Dark Energy
ProjectileName.DD2DarkMageHeal,Dark Sigil
ProjectileName.DD2DarkMageRaise,Dark Sigil
ProjectileName.DD2DrakinShot,Drakin
ProjectileName.DD2ElderWins,Grim End
ProjectileName.DD2ExplosiveTrapT1,Explosive Trap
ProjectileName.DD2ExplosiveTrapT1Explosion,Explosive Trap
ProjectileName.DD2ExplosiveTrapT2,Explosive Trap
ProjectileName.DD2ExplosiveTrapT2Explosion,Explosive Trap
ProjectileName.DD2ExplosiveTrapT3,Explosive Trap
ProjectileName.DD2ExplosiveTrapT3Explosion,Explosive Trap
ProjectileName.DD2FlameBurstTowerT1,Flameburst Tower
ProjectileName.DD2FlameBurstTowerT1Shot,Flameburst Tower
ProjectileName.DD2FlameBurstTowerT2,Flameburst Tower
ProjectileName.DD2FlameBurstTowerT2Shot,Flameburst Tower
ProjectileName.DD2FlameBurstTowerT3,Flameburst Tower
ProjectileName.DD2FlameBurstTowerT3Shot,Flameburst Tower
ProjectileName.DD2GoblinBomb,Goblin Bomb
ProjectileName.DD2JavelinHostile,Javelin
ProjectileName.DD2JavelinHostileT3,{$ProjectileName.DD2JavelinHostile}
ProjectileName.DD2LightningAuraT1,Lightning Aura
ProjectileName.DD2LightningAuraT2,Lightning Aura
ProjectileName.DD2LightningAuraT3,Lightning Aura
ProjectileName.DD2LightningBugZap,Withering Bolt
ProjectileName.DD2OgreSmash,Ogre's Stomp
ProjectileName.DD2OgreSpit,Ogre Spit
ProjectileName.DD2OgreStomp,Ogre's Stomp
ProjectileName.DD2PetDragon,Hoardagron
ProjectileName.DD2PetGato,Propeller Gato
ProjectileName.DD2PetGhost,Flickerwick
ProjectileName.DD2PhoenixBow,Phantom Phoenix
ProjectileName.DD2PhoenixBowShot,Phantom Phoenix
ProjectileName.DD2SquireSonicBoom,Hearty Slash
ProjectileName.DD2Win,Victory!
ProjectileName.DeadlySphere,Deadly Sphere
ProjectileName.DeathLaser,Death Laser
ProjectileName.DeathSickle,Death Sickle
ProjectileName.DemonScythe,Demon Scythe
ProjectileName.DemonSickle,Demon Sickle
ProjectileName.DesertDjinnCurse,Desert Spirit's Curse
ProjectileName.DiamondBolt,Diamond Bolt
ProjectileName.DirtBall,Dirt Ball
ProjectileName.DirtBomb,Dirt Bomb
ProjectileName.DirtGolfBall,Golf Ball
ProjectileName.DirtStickyBomb,Sticky Dirt Bomb
ProjectileName.DrillMountCrosshair,Drill Crosshair
ProjectileName.DripplerFlail,Drippler Crippler
ProjectileName.DripplerFlailExtraBall,Drippler Crippler
ProjectileName.DrManFlyFlask,Flask
ProjectileName.DryadsWardCircle,Dryad's ward
ProjectileName.DryBomb,Dry Bomb
ProjectileName.DryGrenade,Grenade
ProjectileName.DryMine,Proximity Mine
ProjectileName.DryRocket,Rocket
ProjectileName.DrySnowmanRocket,Rocket
ProjectileName.DualHookBlue,Hook
ProjectileName.DualHookRed,Hook
ProjectileName.Dynamite,Dynamite
ProjectileName.DynamiteKitten,Dynamite Kitten
ProjectileName.EatersBite,Eater's Bite
ProjectileName.EbonsandBallFalling,Ebonsand Ball
ProjectileName.EbonsandBallGun,Ebonsand Ball
ProjectileName.EighthNote,Note
ProjectileName.Electrosphere,Electrosphere
ProjectileName.ElectrosphereMissile,Electrosphere Missile
ProjectileName.EmeraldBolt,Emerald Bolt
ProjectileName.EmpressBlade,Terraprisma
ProjectileName.EnchantedBeam,Enchanted Beam
ProjectileName.EnchantedBoomerang,Enchanted Boomerang
ProjectileName.ExplosiveBullet,Explosive Bullet
ProjectileName.ExplosiveBunny,Explosive Bunny
ProjectileName.Explosives,Explosives
ProjectileName.EyeBeam,Eye Beam
ProjectileName.EyeFire,Eye Fire
ProjectileName.EyeLaser,Eye Laser
ProjectileName.EyeSpring,Eye Spring
ProjectileName.FairyGlowstick,Fairy Glowstick
ProjectileName.FairyQueenLance,Ethereal Lance
ProjectileName.FairyQueenMagicItemShot,Nightglow
ProjectileName.FairyQueenRangedItemShot,Twilight Lance
ProjectileName.FairyQueenSunDance,Sun Dance
ProjectileName.FallingStar,Falling Star
ProjectileName.FallingStarSpawner,Falling Star
ProjectileName.FennecFox,Fennec Fox
ProjectileName.FinalFractal,Zenith
ProjectileName.FireArrow,Fire Arrow
ProjectileName.Fireball,Fireball
ProjectileName.FireWhip,Firecracker
ProjectileName.FireWhipProj,Firecracker
ProjectileName.FireworkFountainBlue,Firework Fountain
ProjectileName.FireworkFountainRainbow,Firework Fountain
ProjectileName.FireworkFountainRed,Firework Fountain
ProjectileName.FireworkFountainYellow,Firework Fountain
ProjectileName.FirstFractal,First Fractal
ProjectileName.FishHook,Fish Hook
ProjectileName.Flairon,Flairon
ProjectileName.FlaironBubble,Flairon Bubble
ProjectileName.Flamarang,Flamarang
ProjectileName.Flamelash,Flamelash
ProjectileName.Flames,Flames
ProjectileName.FlamesTrap,Flames
ProjectileName.FlamethrowerTrap,Flamethrower
ProjectileName.FlamingArrow,Flaming Arrow
ProjectileName.FlamingJack,Flaming Jack
ProjectileName.FlamingMace,Flaming Mace
ProjectileName.FlamingScythe,Flaming Scythe
ProjectileName.FlamingWood,Flaming Wood
ProjectileName.Flare,Flare
ProjectileName.FlinxMinion,Flinx
ProjectileName.FlowerPetal,Flower Petal
ProjectileName.FlowerPow,Flower Pow
ProjectileName.FlowerPowPetal,Flower Pow
ProjectileName.FlyingImp,Flying Imp
ProjectileName.FlyingKnife,Flying Knife
ProjectileName.FlyingPiggyBank,Flying Piggy Bank
ProjectileName.FormatC,Yoyo
ProjectileName.FoulPotion,Foul Potion
ProjectileName.FrostArrow,Frost Arrow
ProjectileName.FrostBeam,Frost Beam
ProjectileName.FrostBlastFriendly,Frost Blast
ProjectileName.FrostBlastHostile,Frost Blast
ProjectileName.FrostBoltStaff,Frost Bolt
ProjectileName.FrostBoltSword,Frost Bolt
ProjectileName.FrostburnArrow,Frostburn Arrow
ProjectileName.FrostDaggerfish,Frost Daggerfish
ProjectileName.FrostHydra,Frost Hydra
ProjectileName.FrostShard,Frost Shard
ProjectileName.FrostWave,Frost Wave
ProjectileName.FruitcakeChakram,Fruitcake Chakram
ProjectileName.GelBalloon,Sparkle Slime Balloon
ProjectileName.GemHookAmethyst,Gem Hook
ProjectileName.GemHookDiamond,Gem Hook
ProjectileName.GemHookEmerald,Gem Hook
ProjectileName.GemHookRuby,Gem Hook
ProjectileName.GemHookSapphire,Gem Hook
ProjectileName.GemHookTopaz,Gem Hook
ProjectileName.GeyserTrap,Geyser
ProjectileName.GiantBee,Bee
ProjectileName.GigaZapperSpear,Gigazapper Spearhead
ProjectileName.GladiusStab,Gladius
ProjectileName.GlitteryButterfly,Glittery Butterfly
ProjectileName.Glowstick,Glowstick
ProjectileName.GoldCoin,Gold Coin
ProjectileName.GoldCoinsFalling,Gold Coins
ProjectileName.GoldenBullet,Golden Bullet
ProjectileName.GoldenShowerFriendly,Golden Shower
ProjectileName.GoldenShowerHostile,Golden Shower
ProjectileName.GoldShortswordStab,Gold Shortsword
ProjectileName.GolemFist,Golem Fist
ProjectileName.GolfBallDyedBlack,Golf Ball
ProjectileName.GolfBallDyedBlue,Golf Ball
ProjectileName.GolfBallDyedBrown,Golf Ball
ProjectileName.GolfBallDyedCyan,Golf Ball
ProjectileName.GolfBallDyedGreen,Golf Ball
ProjectileName.GolfBallDyedLimeGreen,Golf Ball
ProjectileName.GolfBallDyedOrange,Golf Ball
ProjectileName.GolfBallDyedPink,Golf Ball
ProjectileName.GolfBallDyedPurple,Golf Ball
ProjectileName.GolfBallDyedRed,Golf Ball
ProjectileName.GolfBallDyedSkyBlue,Golf Ball
ProjectileName.GolfBallDyedTeal,Golf Ball
ProjectileName.GolfBallDyedViolet,Golf Ball
ProjectileName.GolfBallDyedYellow,Golf Ball
ProjectileName.GolfClubHelper,Golf Club
ProjectileName.Gradient,Yoyo
ProjectileName.GraveMarker,Tombstone
ProjectileName.Gravestone,Tombstone
ProjectileName.GreekFire1,Greek Fire
ProjectileName.GreekFire2,Greek Fire
ProjectileName.GreekFire3,Greek Fire
ProjectileName.GreenCounterweight,Counterweight
ProjectileName.GreenDungeonDebris,Debris
ProjectileName.GreenFairy,Pink Fairy
ProjectileName.GreenLaser,Green Laser
ProjectileName.Grenade,Grenade
ProjectileName.GrenadeI,Grenade
ProjectileName.GrenadeII,Grenade
ProjectileName.GrenadeIII,Grenade
ProjectileName.GrenadeIV,Grenade
ProjectileName.Gungnir,Gungnir
ProjectileName.HallowBossLastingRainbow,Everlasting Rainbow
ProjectileName.HallowBossRainbowStreak,Prismatic Bolt
ProjectileName.HallowJoustingLance,Hallowed Jousting Lance
ProjectileName.HallowSpray,Hallow Spray
ProjectileName.HallowStar,Hallow Star
ProjectileName.Hamdrax,Hamdrax
ProjectileName.HappyBomb,Happy Bomb
ProjectileName.Harpoon,Harpoon
ProjectileName.HarpyFeather,Harpy Feather
ProjectileName.Headstone,Tombstone
ProjectileName.HeatRay,Heat Ray
ProjectileName.HelFire,Yoyo
ProjectileName.HellfireArrow,Hellfire Arrow
ProjectileName.Hellwing,Hellwing
ProjectileName.HolyArrow,Holy Arrow
ProjectileName.HolyWater,Holy Water
ProjectileName.HoneyBomb,Honey Bomb
ProjectileName.HoneyGrenade,Grenade
ProjectileName.HoneyMine,Proximity Mine
ProjectileName.HoneyRocket,Rocket
ProjectileName.HoneySnowmanRocket,Rocket
ProjectileName.Hook,Hook
ProjectileName.Hornet,Hornet
ProjectileName.HornetStinger,Hornet Stinger
ProjectileName.IceBlock,Ice Block
ProjectileName.IceBolt,Ice Bolt
ProjectileName.IceBoomerang,Ice Boomerang
ProjectileName.IceSickle,Ice Sickle
ProjectileName.IceSpike,Ice Spike
ProjectileName.IcewaterSpit,Icewater Spit
ProjectileName.IchorArrow,Ichor Arrow
ProjectileName.IchorBullet,Ichor Bullet
ProjectileName.IchorDart,Ichor Dart
ProjectileName.IchorSplash,Ichor Splash
ProjectileName.IlluminantHook,Hook
ProjectileName.ImpFireball,Imp Fireball
ProjectileName.InfernoFriendlyBlast,Inferno
ProjectileName.InfernoFriendlyBolt,Inferno
ProjectileName.InfernoHostileBlast,Inferno
ProjectileName.InfernoHostileBolt,Inferno
ProjectileName.InfluxWaver,Influx Waver
ProjectileName.IronShortswordStab,Iron Shortsword
ProjectileName.IvyWhip,Ivy Whip
ProjectileName.JackOLantern,Jack 'O Lantern
ProjectileName.JavelinFriendly,Javelin
ProjectileName.JavelinHostile,Javelin
ProjectileName.JestersArrow,Jester's Arrow
ProjectileName.JoustingLance,Jousting Lance
ProjectileName.JumperSpider,Jumper Spider
ProjectileName.JungleSpike,Jungle Spike
ProjectileName.JungleYoyo,Yoyo
ProjectileName.Kraken,Yoyo
ProjectileName.Landmine,Landmine
ProjectileName.LaserDrill,Laser Drill
ProjectileName.LaserMachinegun,Laser Machinegun
ProjectileName.LaserMachinegunLaser,Laser
ProjectileName.LastPrism,Last Prism
ProjectileName.LastPrismLaser,Last Prism
ProjectileName.LavaBomb,Lava Bomb
ProjectileName.LavaGrenade,Grenade
ProjectileName.LavaMine,Proximity Mine
ProjectileName.LavaRocket,Rocket
ProjectileName.LavaSnowmanRocket,Rocket
ProjectileName.LeadShortswordStab,Lead Shortsword
ProjectileName.Leaf,Leaf
ProjectileName.LightBeam,Light Beam
ProjectileName.LightDisc,Light Disc
ProjectileName.LilHarpy,Lil' Harpy
ProjectileName.LostSoulFriendly,Lost Soul
ProjectileName.LostSoulHostile,Lost Soul
ProjectileName.LovePotion,Love Potion
ProjectileName.LunarFlare,Lunar Flare
ProjectileName.LunarHookNebula,Lunar Hook
ProjectileName.LunarHookSolar,Lunar Hook
ProjectileName.LunarHookStardust,Lunar Hook
ProjectileName.LunarHookVortex,Lunar Hook
ProjectileName.Mace,Mace
ProjectileName.MaceWhip,Morning Star
ProjectileName.MagicDagger,Magic Dagger
ProjectileName.MagicLantern,Magic Lantern
ProjectileName.MagicMissile,Magic Missile
